city_name,total_crime,total_alcohol,city_pop,theft/larceny,fraud,assault,sex crimes,vandalism,vehicle break-in/theft,burglary,motor vehicle theft,robbery,drugs/alcohol violations,dui,weapons,arson,homicide
San Diego,362073,2661,1307402,48706,19700,29704,7864,27483,44082,32085,35575,8259,85302,18634,3702,793,184
National City,19118,102,58582,3960,534,1369,370,1309,1466,1718,2613,817,3775,927,198,50,12
Del Mar,2670,36,4161,335,87,208,55,118,311,218,94,26,941,264,12,1,0
Escondido,37038,256,143191,4731,2148,2258,1023,3591,5435,3598,3485,731,7691,1761,483,86,17
Encinitas,11306,157,59518,1170,638,926,144,674,1905,1157,418,104,2577,1528,58,7,0
Imperial Beach,6813,48,26324,433,237,685,131,619,508,534,676,84,2257,521,110,14,4
Oceanside,46505,258,167086,7560,2447,3907,1160,6181,5681,3931,2066,730,10516,1737,460,107,22
Lemon Grove,6221,36,25320,685,307,612,132,241,444,707,562,217,1819,374,105,13,3
Carlsbad,18141,185,105328,3676,617,1437,264,1127,3009,2238,669,208,3562,1185,108,31,10
Chula Vista,48927,291,243916,8311,4553,3094,947,5031,6710,4302,6153,1196,5611,2406,471,123,19
El Cajon,26305,222,99478,3079,1083,2539,714,1986,2954,2634,2460,726,6532,1106,421,64,7
Vista,24068,157,93834,2846,1405,2468,532,1750,3088,2550,1724,544,5623,1173,313,45,7
La Mesa,15770,146,57065,2527,879,520,247,1300,2822,1635,1279,396,2994,985,137,44,5
Santee,11123,79,53413,1776,688,1088,191,1038,1592,944,649,136,2200,708,95,16,2
Poway,6903,88,47811,1147,504,627,114,487,865,785,265,96,1288,665,51,8,1
Coronado,4922,67,18912,1441,220,235,47,393,249,518,166,20,1009,596,15,12,1
Solana Beach,2353,44,12867,286,151,175,26,172,497,353,96,40,355,191,9,1,1
San Marcos,13700,154,83781,2306,866,1233,276,1154,1984,1690,996,258,2146,647,125,14,5
