"last_date","OGC_FID","GEOMETRY","licenses_id","scrape_date","licenseno","status","licensetype","issuedate","exprdate","owner","premisesaddress","segments_id","lon","lat","x","y","city","neighborhood","community","council","tract","business","mailaddress","gcquality","gctype"
"2013-07-09T",1,"","","2013-07-09T",413,"ACTIVE",51,"1951-07-20T","2014-03-31T","MISSION BAY YACHT CLUB INC","1215 EL CARMEL PL, SAN DIEGO, CA  92109",-1,-117.248361242,32.7778467173,6254804.29475,1864266.24383,"NONE","NONE","NONE","NONE","0076.00","","",0,"cns/address"
"2013-07-09T",2,"","","2013-07-09T",1414,"ACTIVE",41,"1978-06-05T","2014-04-30T","FICANO, CONNIE M","9349 MIRA MESA BLVD, SAN DIEGO, CA  92126",-1,-117.123422617,32.9167545657,6293628.59978,1914460.91829,"SndSAN","NONE","NONE","NONE","0083.59","Capriccio Italian Restaurant","",0,"cns/address"
"2013-07-09T",3,"","","2013-07-09T",1419,"ACTIVE",21,"1964-08-18T","2013-09-30T","A O K ENTERPRISES INC","3744 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",-1,-117.113723001,32.7015239712,6295956.46286,1836127.88794,"SndCHU","NONE","NONE","NONE","0035.01","Ocean View Liquor","",0,"cns/address"
"2013-07-09T",4,"","","2013-07-09T",2498,"ACTIVE",21,"1978-01-01T","2013-08-31T","ORAM, AMIR Z","3515 UNIVERSITY AVE, SAN DIEGO, CA  92104",-1,-117.117611882,32.7495240675,6294905.46483,1853601.89491,"SndOCN","NONE","NONE","NONE","0024.01","Market Place The","",0,"cns/address"
"2013-07-09T",5,"","","2013-07-09T",3803,"ACTIVE",48,"1977-05-18T","2014-03-31T","SILVER FOX ASSOCIATES INC","1833 GARNET AVE, SAN DIEGO, CA  92109",-1,-117.236281073,32.8005075859,6258595.20892,1872475.61267,"SndPOW","NONE","NONE","NONE","0079.08","Silver Fox Associates Inc","",0,"cns/address"
"2013-07-09T",6,"","","2013-07-09T",4016,"ACTIVE",21,"1971-06-17T","2013-06-30T","MARCREST INC","3787 INGRAHAM ST, SAN DIEGO, CA  92109",-1,-117.237148711,32.7885597543,6258287.44626,1868131.15513,"SndCAR","NONE","NONE","NONE","0077.02","Crest","",0,"cns/address"
"2013-07-09T",7,"","","2013-07-09T",4261,"ACTIVE",21,"1979-08-20T","2014-01-31T","J C & S INC","4210 MARKET ST, SAN DIEGO, CA  92102",-1,-117.104456353,32.7117286525,6298837.55796,1839817.21672,"SndESC","NONE","NONE","NONE","0034.03","","",0,"cns/address"
"2013-07-09T",8,"","","2013-07-09T",5332,"ACTIVE",21,"1973-01-22T","2014-02-28T","ATTIQ, LOUIS","110 NATIONAL CITY BLVD, NATIONAL CITY, CA  91950",-1,-117.097561682,32.651771558,6300780.96722,1817985.40426,"SndSNM","NONE","NONE","NONE","0219.00","One Ten Liquor & Market","",19,"cns/seginterp"
"2013-07-09T",9,"","","2013-07-09T",6278,"ACTIVE",47,"1977-07-01T","2013-08-31T","BRIGANTINE THE","3263 CAMINO DEL MAR, DEL MAR, CA  92014",-1,-136.17877344,25.9454865109,-1.0,-1.0,"SndENC","NONE","NONE","NONE","0172.00","","7889 OSTROW ST SAN DIEGO, CA  92111-3602",-1,"NONE"
"2013-07-09T",10,"","","2013-07-09T",6555,"ACTIVE",51,"1967-07-01T","2014-05-31T","FLEET RESERVE ASSN BR 62","3638 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",-1,-117.115966281,32.7015034471,6295266.30849,1836126.14478,"SndVIS","NONE","NONE","NONE","0035.01","Fra Club 62","",0,"cns/address"
"2013-07-09T",11,"","","2013-07-09T",6779,"ACTIVE",51,"1968-08-07T","2013-09-30T","MOOSE LODGE ESCONDIDO 1874","25721 JESMOND DENE RD, ESCONDIDO, CA  92026",-1,-117.096124596,33.1700426108,6302753.565,2006547.618,"SndSNT","NONE","NONE","NONE","Tract:","Moose Lodge Escondido 1874","",0,"cns/segmid"
"2013-07-09T",12,"","","2013-07-09T",7375,"ACTIVE",21,"1964-12-15T","2014-05-31T","PALOMAR ENTERPRISE INCORPORATED","302 W MISSION AVE, ESCONDIDO, CA  92025",-1,-117.089835806,33.1293340173,6304558.57996,1991720.59709,"SndELC","NONE","NONE","NONE","0202.14","Holiday Wine Cellar","PO BOX 462947 ESCONDIDO, CA  92046",0,"cns/address"
"2013-07-09T",13,"","","2013-07-09T",7808,"ACTIVE",52,"1967-09-11T","2013-08-31T","AMERICAN LEGION SAN DIEGUITO POST 416","210 W F ST, ENCINITAS, CA  92024",-1,-117.294746834,33.0434280773,6241515.63653,1961032.15049,"SndCOR","NONE","NONE","NONE","0175.01","American Legion Post 416","",10,"cns/address"
"2013-07-09T",14,"","","2013-07-09T",9231,"ACTIVE",57,"1965-11-24T","2014-01-31T","EAGLES LODGE SAN DIEGO AERIE 244","3848 CENTRE ST, SAN DIEGO, CA  92103",-1,-117.148553414,32.7481281109,6285387.84862,1853174.57455,"SndNAT","NONE","NONE","NONE","0007.00","Eagles Lodge San Diego Aerie 244","",0,"cns/address"
"2013-07-09T",15,"","","2013-07-09T",9378,"ACTIVE",47,"1952-09-12T","2013-08-31T","ELKS LODGE CLEMENTINE MCDUFF POST","6 HENSLEY ST, SAN DIEGO, CA  92102",-1,-117.134833116,32.7055217263,6289474.78048,1837636.86096,"SndLAM","NONE","NONE","NONE","0048.00","","PO BOX 740118 SAN DIEGO, CA  92174",0,"cns/address"
"2013-07-09T",16,"","","2013-07-09T",9433,"ACTIVE",47,"1978-01-01T","2014-03-31T","ZOOLOGICAL SOCIETY OF SAN DIEGO","15500 SAN PASQUAL VALLEY RD, SAN DIEGO, CA  92027",-1,-117.002897287,33.0991894372,6331094.32675,1980549.44125,"SndIMP","NONE","NONE","NONE","0207.06","San Diego Zoo Safari Park","PO BOX 120551 SAN DIEGO, CA  92112-0551",0,"cns/address"
