-114.005671,51.262567,"Walmart Supercentre; #1050, ","2881 Main St SW,Airdrie AB ,T4B 3G5"
-111.900542,50.577939,"Walmart Supercentre; #3658, ","917 3rd St WBrooks,AB T1R 1L5,(403) 793-2111"
-114.039133,51.107253,"Walmart Supercentre; #3013, ","1110 57th Ave NE,Calgary AB ,T2E 9B7"
-114.138488,51.040871,"Walmart Supercentre; #3009,  Gas,","1212 37 St SW,Calgary AB ,T3C 1S3"
-114.028603,50.930551,"Walmart; #1144, ","1221 Canyon Meadows Dr SE,Calgary AB ,T2J 6G2"
-113.91159,51.04009,"Walmart Supercentre; #1136, ","255 E Hills Blvd SE,Calgary AB ,T2A 4X7"
-113.989925,51.053615,"Walmart Supercentre; #3012, ","3800 Memorial Dr NE,Calgary AB ,T2A 2K2"
-113.966699,50.930235,"Walmart Supercentre; #3650, ","4705 130th Ave,Calgary AB ,T2Z 4J2"
-114.142114,51.097447,"Walmart Supercentre; #3011,  Gas,","5005 Northland Dr NW,Calgary AB ,T2L 2K1"
-114.039281,50.984422,"Walmart Supercentre; #1089, ","7979 11 St,Calgary AB ,T2H 0B8"
-114.213235,51.152812,"Walmart Supercentre; #5726, ","8888 Country Hills Blvd #200,Calgary AB ,T3G 5T4"
-114.070155,50.966056,"Walmart Supercentre; #3010,  Gas,","9650 Macleod Trail,Calgary AB ,T2J 0P7"
-112.859721,53.019324,"Walmart Supercentre; #3181, ","6800 48th Ave,Camrose AB ,T4V 4T1"
-114.471376,51.186312,"Walmart Supercentre; #1135, ","15 Quarry St W,Cochrane AB ,T4C 0W5"
-110.20215,54.408152,"Walmart Supercentre; #3640, ","4702 43 Ave,Cold Lake AB ,T9M 1M9"
-114.994295,53.225812,"Walmart Supercentre; #1008, ","5217 Power Centre Blvd,Drayton Valley AB ,T7A 1S7"
-112.687064,51.449393,"Walmart; #1028, ","1801 S Railway Ave,Drumheller AB ,T0J 0Y0"
-113.389302,53.571242,"Walmart Supercentre; #1148, ","1 Westmount Shopping Centre,Edmonton AB ,T5M 3L7"
-113.59472,53.520574,"Walmart Supercentre; #1149, ","100 Meadowlark Shopping Centre NW,Edmonton AB ,T5R 5X1"
-113.420415,53.421597,"Walmart; #1187, ","110 Watt Common SW,Edmonton AB ,T6x 1X2"
-113.481662,53.441312,"Walmart Supercentre; #3029, ","1203 Parsons Rd NW,Edmonton AB ,T6N 0A9"
-113.402255,53.599701,"Walmart Supercentre; #3028, ","13703 40 St NW,Edmonton AB ,T5Y 3B5"
-113.542507,53.631757,"Walmart Supercentre; #1122, ","16940 127th St N,Edmonton AB ,T6V 1S8"
-113.644092,53.539488,"Walmart Supercentre; #3027, ","18521 Stony Plain Rd NW,Edmonton AB ,T5S 2V9"
-113.390984,53.570576,"Walmart Supercentre; #1147, ","3210 118th Ave NW,Edmonton AB ,T5W 4W1"
-113.494111,53.473023,"Walmart Supercentre; #1145, ","3931 Calgary Trail NW,Edmonton AB ,T6J 5M8"
-113.420457,53.539812,"Walmart Supercentre; #3026, ","5004 98 Ave NW,Edmonton AB ,T6A 0A2"
-113.600688,53.437912,"Walmart Supercentre; #1094, ","6110 Currents Dr. NW,Edmonton AB ,T6W 0L7"
-113.36349,53.478497,"Walmart Supercentre; #1138, ","775 Tamarack Way NW,Edmonton AB ,T6T 1H9"
-113.486918,53.597308,"Walmart Supercentre; #1146, ","9402 135th Ave NW,Edmonton AB ,T5E 5R8"
-116.448739,53.577055,"Walmart Supercentre; #1048, ","5750 2nd Ave,Edson AB ,T7E 0A1"
-111.359153,56.72178,"Walmart; #3157, ","2 Hospital St,Fort McMurray AB ,T9H 5E4"
-113.211403,53.69665,"Walmart Supercentre; #5753, ","9551 87 Ave,Fort Saskatchewan AB ,T8L 4N3"
-118.82819,55.17204,"Walmart Supercentre; #3147, ","11050 103 Ave,Grande Prairie AB ,T8V 7H1"
-117.621222,53.386207,"Walmart; #3038, ","900 Carmichael Lane,Hinton AB ,T7V 1Y6"
-113.568259,53.268594,"Walmart Supercentre; #3657, ","5302 Discovery Way,Leduc AB ,T9E 8J7"
-112.791108,49.728593,"Walmart Supercentre; #1078, ","3195 26th Ave N,Lethbridge AB ,T1H 5P4"
-112.795234,49.65775,"Walmart Supercentre; #3048, ","3700 Mayor Magrath Dr S,Lethbridge AB ,T1K 7T6"
-110.049273,53.27654,"Walmart Supercentre; #3168,  Gas,","4210 70th Ave,Lloydminster AB ,T9V 2X3"
-110.642617,49.995015,"Walmart Supercentre; #3150, ","2051 Strachan Rd SE,Medicine Hat AB ,T1B 4J8"
-113.977544,50.714099,"Walmart Supercentre; #5708, ","500 - 201 SouthRidge Dr,Okotoks AB ,T1S 2C8"
-114.141037,51.799211,"Walmart Supercentre; #1084, ","6900 46th St,Olds AB ,T4H OA2"
-117.339138,56.2367,"Walmart Supercentre; #1068, ","9701 78th St,Peace River AB ,T8S 0A3"
-113.947413,49.497742,"Walmart Supercentre; #1070, ","1100 Table Mountain Rd,Pincher Creek AB ,T0K 1W0"
-113.81431,52.23347,"Walmart Supercentre; #3194, ","2010 50 Ave,Red Deer AB ,T4R 3A2"
-113.812575,52.286129,"Walmart Supercentre; #3075, ","6375 50th Ave,Red Deer AB ,T4N 4C7"
-114.145518,51.1757,"Walmart Supercentre; #1097, ","35 Sage Hill Gate NW,Sage Hill AB ,T3R 0S4"
